Target,Account_names,lower_account_names,OR,Person or source,News_Source,City,Province,Country,CBC,,
LouiseMartinCBC,LouiseMartinCBC,LouiseMartinCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
LuctCTV,LuctCTV,LuctCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
Lyndsay_CTV,Lyndsay_CTV,Lyndsay_CTV,OR,person,CTV,Kitchener,Ontario,Canada,Not CBC,,
macleans,macleans,macleans,OR,source,MacLeans,Canada,Canada,Canada,Not CBC,,
MapleRidgeNews,MapleRidgeNews,MapleRidgeNews,OR,source,Maple Ridge News,Maple Ridge,British Columbia,Canada,Not CBC,,
MarielleCBC,MarielleCBC,MarielleCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
MarilynDenisCTV,MarilynDenisCTV,MarilynDenisCTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
MArsalidesCTV,MArsalidesCTV,MArsalidesCTV,OR,person,CTV,Barrie,Ontario,Canada,Not CBC,,
MarvinsRoomCBC,MarvinsRoomCBC,MarvinsRoomCBC,OR,person,CBC,Canada,Canada,Canada,CBC,,
mattrainniecbc,mattrainniecbc,mattrainniecbc,OR,person,CBC,PEI,PEI,Canada,CBC,,
MattYoungCTV,MattYoungCTV,MattYoungCTV,OR,person,CTV,Saskatoon,Saskatchewan,Canada,Not CBC,,
MBorrelliCTV,MBorrelliCTV,MBorrelliCTV,OR,person,CTV,Windsor,Ontario,Canada,Not CBC,,
MedicineHatNews,MedicineHatNews,MedicineHatNews,OR,source,Medicine Hat News,Medicine Hat,Alberta,Canada,Not CBC,,
MeeganReadCBC,MeeganReadCBC,MeeganReadCBC,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
meganTcbc,meganTcbc,meganTcbc,OR,person,CBC,Victoria,British Columbia,Canada,CBC,,
MelanieNagyCTV,MelanieNagyCTV,MelanieNagyCTV,OR,person,CTV,British Columbia,British Columbia,Canada,Not CBC,,
MerrittHerald,MerrittHerald,MerrittHerald,OR,source,Merritt Herald,Merritt,British Columbia,Canada,Not CBC,,
metrocalgary,metrocalgary,metrocalgary,OR,source,Metro News,Calgary,Alberta,Canada,Not CBC,,
metroedmonton,metroedmonton,metroedmonton,OR,source,Metro News,Edmonton,Alberta,Canada,Not CBC,,
metrohalifax,metrohalifax,metrohalifax,OR,source,Metro News,Halifax,Nova Scotia,Canada,Not CBC,,
metromorning,metromorning,metromorning,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
MetroNewsCanada,MetroNewsCanada,MetroNewsCanada,OR,source,Metro News,Canada,Canada,Canada,Not CBC,,
metroottawa,metroottawa,metroottawa,OR,source,Metro News,Ottawa,Ontario,Canada,Not CBC,,
metrotoronto,metrotoronto,metrotoronto,OR,source,Metro News,Toronto,Ontario,Canada,Not CBC,,
metrowinnipeg,metrowinnipeg,metrowinnipeg,OR,source,Metro News,Winnipeg,Manitoba,Canada,Not CBC,,
MHarroldCTV,MHarroldCTV,MHarroldCTV,OR,person,CTV,Montreal,Quebec,Canada,Not CBC,,
MICHAELCTV,MICHAELCTV,MICHAELCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
michaeltgorman,michaeltgorman,michaeltgorman,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
MikePHager,MikePHager,MikePHager,OR,person,Globe and Mail,Vancouver,British Columbia,Canada,Not CBC,,
Misener680NEWS,Misener680NEWS,Misener680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
MissionRecord,MissionRecord,MissionRecord,OR,source,Mission Record,Mission,British Columbia,Canada,Not CBC,,
mitchcormierCBC,mitchcormierCBC,mitchcormierCBC,OR,person,CBC,PEI,PEI,Canada,CBC,,
MiyoungLeeCBC,MiyoungLeeCBC,MiyoungLeeCBC,OR,person,CBC,Vancouver,British Columbia,Canada,CBC,,
MMorton980,MMorton980,MMorton980,OR,person,CKNW,Vancouver,British Columbia,Canada,Not CBC,,
Momin680NEWS,Momin680NEWS,Momin680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
MontrealCP,MontrealCP,MontrealCP,OR,source,The Canadian Press,Montreal,Quebec,Canada,Not CBC,,
mtlgazette,mtlgazette,mtlgazette,OR,source,Montreal Gazette,Montreal,Quebec,Canada,Not CBC,,
musgravesharon,musgravesharon,musgravesharon,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
mypgnow,mypgnow,mypgnow,OR,source,Vista Radio,British Columbia,British Columbia,Canada,Not CBC,,
NanaimoBulletin,NanaimoBulletin,NanaimoBulletin,OR,source,Nanaimo Bulletin,Nanaimo,British Columbia,Canada,Not CBC,,
NanaimoNewsNOW,NanaimoNewsNOW,NanaimoNewsNOW,OR,source,Nanaimo News Now,Nanaimo,British Columbia,Canada,Not CBC,,
nationalpost,nationalpost,nationalpost,OR,source,National Post,Canada,Canada,Canada,Not CBC,,
NationTalk,NationTalk,NationTalk,OR,source,Nation Talk,North,North,Canada,Not CBC,,
natnewswatch,natnewswatch,natnewswatch,OR,source,Nat News Watch,Canada,Canada,Canada,Not CBC,,
NatObserver,NatObserver,NatObserver,OR,source,National Observer,International,International,International,Not CBC,,
NEWS1130,NEWS1130,NEWS1130,OR,source,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
NEWS1130Dean,NEWS1130Dean,NEWS1130Dean,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
NEWS1130Dean,NEWS1130Dean,NEWS1130Dean,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
NEWS1130Traffic,NEWS1130Traffic,NEWS1130Traffic,OR,source,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
NEWS1130Weather,NEWS1130Weather,NEWS1130Weather,OR,source,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
News3LV,News3LV,News3LV,OR,source,News 3 Live,Nevada,Nevada,USA,Not CBC,,
news957,news957,news957,OR,source,NEWS 95.7 Halifax,Halifax,Nova Scotia,Canada,Not CBC,,
NEWS957,NEWS957,NEWS957,OR,source,News 957,Halifax,Nova Scotia,Canada,Not CBC,,
newsroomGC,newsroomGC,newsroomGC,OR,source,Government of Canada Newsroom,Canada,Canada,Canada,Not CBC,,
NEWSTALK1010,NEWSTALK1010,NEWSTALK1010,OR,source,NewsTalk 1010,Toronto,Ontario,Canada,Not CBC,,
NewsTalk770,NewsTalk770,NewsTalk770,OR,source,NewsTalk 770,Calgary,Alberta,Canada,Not CBC,,
NiaFallsReview,NiaFallsReview,NiaFallsReview,OR,source,Niagara Falls Review,Niagara Falls,Ontario,Canada,Not CBC,,
NickMooreCTV,NickMooreCTV,NickMooreCTV,OR,person,CTV,Atlantic,Atlantic,Canada,Not CBC,,
NicoleDubeCTV,NicoleDubeCTV,NicoleDubeCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
nilkoksalcbc,nilkoksalcbc,nilkoksalcbc,OR,person,CBC,Canada,Canada,Canada,CBC,,
NormanJamesCTV,NormanJamesCTV,NormanJamesCTV,OR,person,CTV,London,Ontario,Canada,Not CBC,,
novanewsnow1,novanewsnow1,novanewsnow1,OR,source,Nova News Now,Nova Scotia,Nova Scotia,Canada,Not CBC,,
NTVNewsNL,NTVNewsNL,NTVNewsNL,OR,source,NTV News,Newfoundland,Newfoundland,Canada,Not CBC,,
OmarCBC,OmarCBC,OmarCBC,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
OttawaCitizen,OttawaCitizen,OttawaCitizen,OR,source,Ottawa Citizen,Ottawa,Ontario,Canada,Not CBC,,
OttawaCP,OttawaCP,OttawaCP,OR,source,The Canadian Press,Ottawa,Ontario,Canada,Not CBC,,
ottawasuncom,ottawasuncom,ottawasuncom,OR,source,The Sun,Ottawa,Ontario,Canada,Not CBC,,
paivathewayCTV,paivathewayCTV,paivathewayCTV,OR,person,CTV,Windsor,Ontario,Canada,Not CBC,,
PatatLFPress,PatatLFPress,PatatLFPress,OR,person,London Free Press,London,Ontario,Canada,Not CBC,,
PatForanCTVNews,PatForanCTVNews,PatForanCTVNews,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
PatMorrell_CBC,PatMorrell_CBC,PatMorrell_CBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
patpancoust,patpancoust,patpancoust,OR,person,Global,British Columbia,British Columbia,Canada,Not CBC,,
PatriciaBoalCTV,PatriciaBoalCTV,PatriciaBoalCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
PaulCTV,PaulCTV,PaulCTV,OR,person,CTV,Canada,Canada,Canada,Not CBC,,
PentictonNews,PentictonNews,PentictonNews,OR,source,Penticton News,Penticton,British Columbia,Canada,Not CBC,,
pentononcbc,pentononcbc,pentononcbc,OR,source,CBC,Winnipeg,Manitoba,Canada,CBC,,
PeterCBC,PeterCBC,PeterCBC,OR,person,CBC,Saint Johns,Newfoundland,Canada,CBC,,
peterjontheair,peterjontheair,peterjontheair,OR,person,NEWS 1130,British Columbia,British Columbia,Canada,Not CBC,,
PierrelucCBC,PierrelucCBC,PierrelucCBC,OR,person,CBC,Vancouver,British Columbia,Canada,CBC,,
pjxmn,pjxmn,pjxmn,OR,source,PJXMN,Prince George,British Columbia,Canada,Not CBC,,
PQuinlanGlobal,PQuinlanGlobal,PQuinlanGlobal,OR,person,Global,Saskatoon,Saskatchewan,Canada,Not CBC,,
Q101Merritt,Q101Merritt,Q101Merritt,OR,source,Q101 merritt,Merritt,British Columbia,Canada,Not CBC,,
q104halifax,q104halifax,q104halifax,OR,source,Q104 Halifax,Halifax,Nova Scotia,Canada,Not CBC,,
q104halifax,q104halifax,q104halifax,OR,source,q104 Halifax,Halifax,Nova Scotia,Canada,Not CBC,,
Q13FOX,Q13FOX,Q13FOX,OR,source,Q13 Fox,Seattle,Washington,USA,Not CBC,,
Q99News,Q99News,Q99News,OR,source,Q99 News,Grand Prarie,Alberta,Canada,Not CBC,,
rabbleca,rabbleca,rabbleca,OR,source,Rabble,Canada,Canada,Canada,Not CBC,,
RadioCanadaInfo,RadioCanadaInfo,RadioCanadaInfo,OR,person,CBC,Canada,Canada,Canada,CBC,,
RadioNLNews,RadioNLNews,RadioNLNews,OR,source,Radio NL News,Kamloops,British Columbia,Canada,Not CBC,,
rdnewsNOW,rdnewsNOW,rdnewsNOW,OR,source,Red Deer News Now,Red Deer,Alberta,Canada,Not CBC,,
RedCrossAB,RedCrossAB,RedCrossAB,OR,source,Red Cross,Alberta,Alberta,Canada,Not CBC,,
redcrossak,redcrossak,redcrossak,OR,source,Red Cross,Alaska,Alaska,USA,Not CBC,,
RedCrossBC,RedCrossBC,RedCrossBC,OR,source,Red Cross,British Columbia,British Columbia,Canada,Not CBC,,
redcrosscanada,redcrosscanada,redcrosscanada,OR,source,Red Cross,Canada,Canada,Canada,Not CBC,,
RedCrossDurham,RedCrossDurham,RedCrossDurham,OR,source,Red Cross,Durham,Ontario,Canada,Not CBC,,
RedCrossMB,RedCrossMB,RedCrossMB,OR,source,Red Cross,Manitoba,Manitoba,Canada,Not CBC,,
RedCrossNCR,RedCrossNCR,RedCrossNCR,OR,source,Red Cross,Washington,DC,USA,Not CBC,,
RedCrossSK,RedCrossSK,RedCrossSK,OR,source,Red Cross,Saskatchewan,Saskatchewan,Canada,Not CBC,,
RedDeerAdvocate,RedDeerAdvocate,RedDeerAdvocate,OR,source,Red Deer Advocate,Red Deer,Alberta,Canada,Not CBC,,
ReneeRodgersCTV,ReneeRodgersCTV,ReneeRodgersCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
RetaIsmailCTV,RetaIsmailCTV,RetaIsmailCTV,OR,person,CTV,London,Ontario,Canada,Not CBC,,
RevelstokeRevue,RevelstokeRevue,RevelstokeRevue,OR,source,Revelstoke Review,Revelstoke,British Columbia,Canada,Not CBC,,
RiaCKNW980,RiaCKNW980,RiaCKNW980,OR,person,CKNW,New Westminster,British Columbia,Canada,Not CBC,,
RickHughesCBC,RickHughesCBC,RickHughesCBC,OR,person,CBC,Hamilton,Ontario,Canada,CBC,,
RobWilliamsCTV,RobWilliamsCTV,RobWilliamsCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
RodKurtzCBC,RodKurtzCBC,RodKurtzCBC,OR,person,CBC,Edmonton,Alberta,Canada,CBC,,
RosieBarton,RosieBarton,RosieBarton,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
RyanatLFPress,RyanatLFPress,RyanatLFPress,OR,person,London Free Press,London,Ontario,Canada,Not CBC,,
RyanMacD_CTV,RyanMacD_CTV,RyanMacD_CTV,OR,person,CTV,Cape Breton,Nova Scotia,Canada,Not CBC,,
saanichnews,saanichnews,saanichnews,OR,source,Saanich News,Victoria,British Columbia,Canada,Not CBC,,
SabeenCTV,SabeenCTV,SabeenCTV,OR,person,CTV,Regina,Saskatchewan,Canada,Not CBC,,
SachaLongCTV,SachaLongCTV,SachaLongCTV,OR,person,CTV,Windsor,Ontario,Canada,Not CBC,,
SalmonArm,SalmonArm,SalmonArm,OR,source,Salmon Arm News,Salmon Arm,British Columbia,Canada,Not CBC,,
Salvationist,Salvationist,Salvationist,OR,source,Salvationist,Canada,Canada,Canada,Not CBC,,
SaraFrasercbc,SaraFrasercbc,SaraFrasercbc,OR,person,CBC,PEI,PEI,Canada,CBC,,
SarahPlowmanCTV,SarahPlowmanCTV,SarahPlowmanCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
sarahritchiectv,sarahritchiectv,sarahritchiectv,OR,person,CTV,Halifax,Nova Scotia,Canada,Not CBC,,
ScanBC,ScanBC,ScanBC,OR,source,Scan BC,British Columbia,British Columbia,Canada,Not CBC,,
scottfeeglobal,scottfeeglobal,scottfeeglobal,OR,source,Global,Calgary,Alberta,Canada,Not CBC,,
ScottLaurie_CTV,ScottLaurie_CTV,ScottLaurie_CTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
SeattleCP,SeattleCP,SeattleCP,OR,source,The Canadian Press,Seattle,Washington,Canada,Not CBC,,
seattletimes,seattletimes,seattletimes,OR,source,Seattle Times,Seattle,Washington,USA,Not CBC,,
SethonKOMO,SethonKOMO,SethonKOMO,OR,person,Komo News,Seattle,Washington,Canada,Not CBC,,
ShaluatLFPress,ShaluatLFPress,ShaluatLFPress,OR,person,London Free Press,London,Ontario,Canada,Not CBC,,
shanellekaulCTV,shanellekaulCTV,shanellekaulCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
ShawnaCTV,ShawnaCTV,ShawnaCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
SheilaColesCBC,SheilaColesCBC,SheilaColesCBC,OR,person,CBC,Regina,Saskatchewan,Canada,CBC,,
Shelby_Thom,Shelby_Thom,Shelby_Thom,OR,person,Global,British Columbia,British Columbia,Canada,Not CBC,,
ShuswapKicker,ShuswapKicker,ShuswapKicker,OR,source,Shuswap Kicker,Shuswap Lake,British Columbia,Canada,Not CBC,,
SimonDingleyCBC,SimonDingleyCBC,SimonDingleyCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
simonplittle,simonplittle,simonplittle,OR,person,CKNW,Vancouver,British Columbia,Canada,Not CBC,,
skellycbc,skellycbc,skellycbc,OR,person,CBC,Windsor,Ontario,Canada,CBC,,
SLangeneggerCBC,SLangeneggerCBC,SLangeneggerCBC,OR,person,CBC,Saskatchewan,Saskatchewan,Canada,CBC,,
sm680NEWS,sm680NEWS,sm680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
SMasottiCTV,SMasottiCTV,SMasottiCTV,OR,person,CTV,Windsor,Ontario,Canada,Not CBC,,
SmithersNews,SmithersNews,SmithersNews,OR,source,Smithers News,Smithers,British Columbia,Canada,Not CBC,,
sobittersosweet,sobittersosweet,sobittersosweet,OR,source,Vista Radio,Prince George,British Columbia,Canada,Not CBC,,
SookeNews,SookeNews,SookeNews,OR,source,Sooke News,Sooke,British Columbia,Canada,Not CBC,,
sophiaharrisCBC,sophiaharrisCBC,sophiaharrisCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
SpecReplay,SpecReplay,SpecReplay,OR,source,Hamilton Spectator,Hamilton,Ontario,Canada,Not CBC,,
steinjcbc,steinjcbc,steinjcbc,OR,person,CBC,Yellowknife,North,Canada,CBC,,
StephanieFroese,StephanieFroese,StephanieFroese,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
StephTsicosCTV,StephTsicosCTV,StephTsicosCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
stevehossCBC,stevehossCBC,stevehossCBC,OR,person,CBC,Iqaluit,North,Canada,CBC,,
SteveTVNews,SteveTVNews,SteveTVNews,OR,person,Komo News,Seattle,Washington,Canada,Not CBC,,
stobincbc,stobincbc,stobincbc,OR,person,CBC,Saint Johns,Newfoundland,Canada,CBC,,
strombo,strombo,strombo,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
Summit107FM,Summit107FM,Summit107FM,OR,source,Summit 107 FM,British Columbia,British Columbia,Canada,Not CBC,,
sunpeaksnews,sunpeaksnews,sunpeaksnews,OR,source,Sunpeak News,Sun Peaks,British Columbia,Canada,Not CBC,,
SurreyNowLeader,SurreyNowLeader,SurreyNowLeader,OR,source,Surrey Now,British Columbia,British Columbia,Canada,Not CBC,,
SusanCTV,SusanCTV,SusanCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
TaraCTV,TaraCTV,TaraCTV,OR,person,CTV,London,Ontario,Canada,Not CBC,,
TDellerCBC,TDellerCBC,TDellerCBC,OR,person,CBC,Saskatoon,Saskatchewan,Canada,CBC,,
thebeaverton,thebeaverton,thebeaverton,OR,source,The Beaverton,Canada,Canada,Canada,Not CBC,,
theBreakerNews,theBreakerNews,theBreakerNews,OR,source,The Breaker News,Vancouver,British Columbia,Canada,Not CBC,,
TheBroadcastCBC,TheBroadcastCBC,TheBroadcastCBC,OR,source,CBC,Canada,Canada,Canada,CBC,,
TheCurrentCBC,TheCurrentCBC,TheCurrentCBC,OR,source,CBC,Canada,Canada,Canada,CBC,,
TheCVPioneer,TheCVPioneer,TheCVPioneer,OR,source,The Comox Valley Pioneer,British Columbia,British Columbia,Canada,Not CBC,,
TheHillTimes,TheHillTimes,TheHillTimes,OR,source,The Hill Times,Ottawa,Ontario,Canada,Not CBC,,
TheNelsonDaily,TheNelsonDaily,TheNelsonDaily,OR,source,The Nelson Daily,Nelson,British Columbia,Canada,Not CBC,,
TheProgress,TheProgress,TheProgress,OR,source,The Progress,Chilliwack,British Columbia,Canada,Not CBC,,
theprovince,theprovince,theprovince,OR,source,The Province,Vancouver,British Columbia,Canada,Not CBC,,
TheRebelTV,TheRebelTV,TheRebelTV,OR,source,Rebel TV,Canada,Canada,Canada,Not CBC,,
TheSocialCTV,TheSocialCTV,TheSocialCTV,OR,source,CTV,Canada,Canada,Canada,Not CBC,,
TheSpec,TheSpec,TheSpec,OR,source,Hamilton Spectator,Hamilton,Ontario,Canada,Not CBC,,
TheSpecEvents,TheSpecEvents,TheSpecEvents,OR,source,Hamilton Spectator,Hamilton,Ontario,Canada,Not CBC,,
TheTorontoSun,TheTorontoSun,TheTorontoSun,OR,source,The Sun,Toronto,Ontario,Canada,Not CBC,,
TheWeatherNetUS,TheWeatherNetUS,TheWeatherNetUS,OR,source,The Weather News US,USA,USA,USA,Not CBC,,
TheWindsorStar,TheWindsorStar,TheWindsorStar,OR,source,Windsor Star,Windsor,Ontario,Canada,Not CBC,,
TiffanyGlobal,TiffanyGlobal,TiffanyGlobal,OR,person,Global,Regina,Saskatchewan,Canada,Not CBC,,
timescolonist,timescolonist,timescolonist,OR,source,Times Colonist,Victoria,British Columbia,Canada,Not CBC,,
Toronto_CP,Toronto_CP,Toronto_CP,OR,source,The Canadian Press,Toronto,Ontario,Canada,Not CBC,,
TorontoStar,TorontoStar,TorontoStar,OR,source,Toronto Star,Toronto,Ontario,Canada,Not CBC,,
TrailDailyTimes,TrailDailyTimes,TrailDailyTimes,OR,source,Trail Daily Times,Trail,British Columbia,Canada,Not CBC,,
TreenaWood,TreenaWood,TreenaWood,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
tricitynews,tricitynews,tricitynews,OR,source,Tri-City News,British Columbia,British Columbia,Canada,Not CBC,,
tvo,tvo,tvo,OR,source,TVO,Canada,Canada,Canada,Not CBC,,
TweeterMillsCBC,TweeterMillsCBC,TweeterMillsCBC,OR,source,CBC,Regina,Saskatchewan,Canada,CBC,,
UpNorthCBC,UpNorthCBC,UpNorthCBC,OR,source,CBC,North,North,Canada,CBC,,
urbantoronto,urbantoronto,urbantoronto,OR,source,Urban Toronto,Toronto,Ontario,Canada,Not CBC,,
VancityBuzz,VancityBuzz,VancityBuzz,OR,source,Van City Buzz,Vancouver,British Columbia,Canada,Not CBC,,
Vancouver_CP,Vancouver_CP,Vancouver_CP,OR,source,The Canadian Press,Vancouver,British Columbia,Canada,Not CBC,,
vancouvermetro,vancouvermetro,vancouvermetro,OR,source,Metro News,Vancouver,British Columbia,Canada,Not CBC,,
vancouvernews,vancouvernews,vancouvernews,OR,source,Vancouver News,Vancouver,British Columbia,Canada,Not CBC,,
VancouverSun,VancouverSun,VancouverSun,OR,source,Vancouver Sun,Vancouver,British Columbia,Canada,Not CBC,,
VanessaVVCBC,VanessaVVCBC,VanessaVVCBC,OR,person,CBC,Fredericton,New Brunswick,Canada,CBC,,
VARedCross,VARedCross,VARedCross,OR,source,Red Cross,Virginia,Virginia,USA,Not CBC,,
VassyKapelos,VassyKapelos,VassyKapelos,OR,person,Global,Ottawa,Ontario,Canada,Not CBC,,
WarickCBC,WarickCBC,WarickCBC,OR,person,CBC,Saskatoon,Saskatchewan,Canada,CBC,,
WatchCTVNews,WatchCTVNews,WatchCTVNews,OR,source,CTV,Canada,Canada,Canada,Not CBC,,
WayneMantykaCTV,WayneMantykaCTV,WayneMantykaCTV,OR,person,CTV,Regina,Saskatchewan,Canada,Not CBC,,
weathernetwork,weathernetwork,weathernetwork,OR,source,The Weather Network,Canada,Canada,Canada,Not CBC,,
WeeklyPressNews,WeeklyPressNews,WeeklyPressNews,OR,source,Enfield Weekly News,Enfield,Nova Scotia,Canada,Not CBC,,
WesterlyNews,WesterlyNews,WesterlyNews,OR,source,Westerly News,Vancouver,British Columbia,Canada,Not CBC,,
WinnipegCP,WinnipegCP,WinnipegCP,OR,source,The Canadian Press,Winnipeg,Manitoba,Canada,Not CBC,,
WinnipegNews,WinnipegNews,WinnipegNews,OR,source,Winnipeg Free Press,Winnipeg,Manitoba,Canada,Not CBC,,
winnipegsun,winnipegsun,winnipegsun,OR,source,The Sun,Winnipeg,Manitoba,Canada,Not CBC,,
WorldfNature,WorldfNature,WorldfNature,OR,source,World Of Nature,International,International,International,Not CBC,,
WR_Record,WR_Record,WR_Record,OR,source,Waterloo Region Record,Waterloo,Ontario,Canada,Not CBC,,
xpress_local,xpress_local,xpress_local,OR,source,Local Xpress,Nova Scotia,Nova Scotia,Canada,Not CBC,,
xpress_local,xpress_local,xpress_local,OR,source,Local Xpress,Nova Scotia,Nova Scotia,Canada,Not CBC,,
YahooCanada,YahooCanada,YahooCanada,OR,source,Yahoo,Canada,Canada,Canada,Not CBC,,
YahooCanadaNews,YahooCanadaNews,YahooCanadaNews,OR,source,Yahoo,Canada,Canada,Canada,Not CBC,,
YahooCASports,YahooCASports,YahooCASports,OR,source,Yahoo,Canada,Canada,Canada,Not CBC,,
YahooFinanceCA,YahooFinanceCA,YahooFinanceCA,OR,source,Yahoo,Canada,Canada,Canada,Not CBC,,
YahooMusic,YahooMusic,YahooMusic,OR,source,Yahoo,Canada,Canada,Canada,Not CBC,,
Yellow_PagesBiz,Yellow_PagesBiz,Yellow_PagesBiz,OR,source,Yellow Pages,Canada,Canada,Canada,Not CBC,,
YourCanadaNews,YourCanadaNews,YourCanadaNews,OR,source,Your Canda News,Canada,Canada,Canada,Not CBC,,
Yukon_News,Yukon_News,Yukon_News,OR,source,Yukon News,Yukon,North,Canada,Not CBC,,
ZuraidahCTV,ZuraidahCTV,ZuraidahCTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
